Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,2p2,C1559
C10,0805,1,22u/25V,C45783
"C11, C13, C25, C30, C33, C35, C4, C5, C6, C7, C8",0402,11,100n,C56392
"C12, C22, C23",0402,3,220n,C192432
"C14, C15, C16, C19, C20, C24, C29, C31",0402,8,10n,C60133
"C17, C18",0402,2,1n5,C284989
"C21, C32",0402,2,680p,C1541
"C26, C27, C28, C34",CP_EIA-3216-18_Kemet-A,4,22u,C118989
C3,0402,1,2u2,C170151
C9,0402,1,1u,C29266
FB1,0603,1,FerriteBead_Small,C2971885
J2,AXK640347YG,1,AXK640347YG,C2936870
R1,0402,1,36k,C4354982
"R10, R11",0402,2,7k5,C2960875
R12,0402,1,3k9,C3015806
"R13, R23",0402,2,39k,C25783
"R14, R18, R19, R22",0402,4,3k3,C25890
R15,0402,1,2k2,C102890
"R16, R3, R30, R4",0402,4,10k,C102749
"R17, R20, R21, R26, R27, R28",0402,6,22k,C2909337
R2,0402,1,12k,C25752
R24,0603,1,3k9,C23018
R5,0402,1,10R,C854481
"R6, R7",0402,2,4k3,C25899
"R8, R9",0402,2,13k,C25754
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32G473CCUx,C1342773
U2,SOT-23-5,1,XC6220B331MR,C3040644
"U4, U6, U7",DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm,3,MCP6002,C623660
U5,TSSOP-20_4.4x6.5mm_P0.65mm,1,MCP4451-503-ST,C627257
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8 MHz,C5308002
