Designator,Mid X,Mid Y,Rotation,Layer
C1,185.4,-58.1,270.0,top
C10,183.0,-62.5,0.0,top
C11,182.48,-55.5,0.0,top
C12,185.9,-65.4,270.0,top
C13,182.76,-61.0,0.0,top
C14,190.1,-64.7,90.0,top
C15,198.1,-71.9,90.0,top
C16,190.2,-66.875,90.0,top
C17,192.6,-68.5,180.0,top
C18,196.6,-69.5,180.0,top
C19,192.5875,-66.5,0.0,top
C2,187.7,-61.4,180.0,top
C20,199.1,-70.0,90.0,top
C21,186.6,-67.365,270.0,top
C22,181.4,-79.0375,180.0,top
C23,181.6,-69.3,90.0,top
C24,186.6,-69.365,90.0,top
C25,185.325,-79.0375,0.0,top
C26,182.9,-67.0,0.0,top
C27,188.7,-75.4,90.0,top
C28,194.9,-71.2,180.0,top
C29,197.4,-77.8125,0.0,top
C3,198.8,-55.7,90.0,top
C30,198.8,-66.8,90.0,top
C31,193.27,-77.42125,180.0,top
C32,195.8,-72.9,0.0,top
C33,195.45,-76.7125,0.0,top
C34,191.0,-75.4,90.0,top
C35,189.1,-66.875,90.0,top
C4,190.8,-54.8,180.0,top
C5,198.8,-64.88,270.0,top
C6,199.4,-57.6625,270.0,top
C7,197.8075,-64.88,270.0,top
C8,194.81,-64.88,270.0,top
C9,195.8025,-64.88,90.0,top
FB1,182.8,-64.3,0.0,top
J2,191.2,-75.5,180.0,bottom
R1,187.9,-63.3,270.0,top
R10,192.5875,-67.5,0.0,top
R11,198.1,-70.0,90.0,top
R12,187.6,-67.375,270.0,top
R13,187.6,-69.375,270.0,top
R14,188.0,-71.375,270.0,top
R15,185.2,-69.3375,90.0,top
R16,183.425,-79.0375,180.0,top
R17,191.9,-71.9,90.0,top
R18,184.125,-69.3375,270.0,top
R19,183.125,-69.3375,270.0,top
R2,189.0,-63.3,90.0,top
R20,192.6,-69.5,0.0,top
R21,194.6,-69.5,0.0,top
R22,197.4,-76.7125,180.0,top
R23,195.45,-77.8125,180.0,top
R24,193.2,-75.02125,90.0,top
R26,186.4,-63.906666,180.0,top
R27,186.9,-65.4,270.0,top
R28,186.4,-62.9,180.0,top
R3,193.3,-54.8,180.0,top
R30,198.3,-63.0,90.0,bottom
R4,187.8,-56.0,0.0,top
R5,196.805,-64.88,90.0,top
R6,191.1,-64.7,270.0,top
R7,199.15,-73.9,90.0,top
R8,192.6,-65.4,0.0,top
R9,199.1,-71.9,90.0,top
U1,194.1,-59.5,90.0,top
U2,182.95,-58.2,270.0,top
U4,189.9375,-70.0375,0.0,top
U5,183.9,-74.4375,180.0,top
U6,195.85,-67.6,270.0,top
U7,196.3,-74.75,90.0,top
Y1,187.7,-58.75,270.0,top
